"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","PM25","PM25_Unit","NO2","NO2_Unit","OZONE","OZONE_Unit","PM10","PM10_Unit","CO","CO_Unit","SO2","SO2_Unit"
"481390016","Midlothian OFW C52","Active","R6","32.482081","-97.026922","202.8","-6.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","Dallas-Fort Worth","33.0","","29.0","","1","0","1","1","8.1","UG/M3","","","38.0","PPB","","","","","",""
"270370470","Apple Valley","Active","R5","44.7383","-93.2372","0.0","-6.0","US","MN","04/18/20","21:00","Minnesota Pollution Control Agency","South Twin Cities Metro","","","24.0","","0","0","1","0","6.0","UG/M3","","","","","","","","","",""
"410711001","na","Inactive","R10","45.2094","-123.2118","44.8","-8.0","US","OR","04/18/20","21:00","Oregon Dept. of Environmental Quality","","","","","","0","0","1","0","","","","","","","","","","","",""
"060270020","Coso Gate","Active","R9","36.0572","-117.8613","0.0","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","","","","","","0","0","0","0","","","","","","","","","","","",""
"080050002","Highland Reservoir - 8100 S. University Blvd.","Active","R8","39.5689","-104.9572","1571.1","-7.0","US","CO","04/18/20","21:00","Regional Air Quality Council ","Denver/Boulder","44.0","","","","1","0","0","0","","","","","50.0","PPB","","","","","",""
"211110080","Carrithers Middle School","Active","R4","38.1825","-85.5744","0.0","-5.0","US","KY","04/18/20","21:00","Louisville Metro Air Pollution Control District ","Louisville","44.0","17.0","51.0","","1","1","1","0","11.4","UG/M3","","","53.0","PPB","18.0","UG/M3","","","",""
"000064401","Egbert","Active","CA","44.2325","-79.7814","253.2","-5.0","CA","CC","04/18/20","21:00","Canadian Air and Precipitation Monitoring Network","","44.0","","","","1","0","0","0","","","","","51.0","PPB","","","","","",""
"391130037","Eastwood","Active","R5","39.78563","-84.13437","243.1","-5.0","US","OH","04/18/20","21:00","Ohio EPA-DAPC","Dayton","44.0","","","","1","0","0","0","","","","","49.0","PPB","","","","","",""
"120113002","HOLLYWOOD","Inactive","R4","26.0083","-80.1601","3.7","-5.0","US","FL","04/18/20","21:00","Broward County Environmental Engineering and Permitting  Division","","","","","","0","1","0","0","","","","","","","","","","","",""
"490050007","Smithfield","Active","R8","41.842778","-111.85194","0.0","-7.0","US","UT","04/18/20","21:00","Utah Department of Environmental Quality","Logan","47.0","","","1.0","1","1","1","1","","","2.0","PPB","56.0","PPB","","","","","",""
"560071000","Sinclair Mobile","Inactive","R8","41.783389","-107.119184","2016.1","-7.0","US","WY","04/18/20","21:00","Wyoming Department of Environmental Quality","","","","","","1","1","1","1","","","","","","","","","","","",""
"840410352222","Chiloquin Fire Dept","Inactive","R10","42.575374","-121.862767","0.0","-8.0","US","OR","04/18/20","21:00","Oregon Dept. of Environmental Quality","","","","","","0","0","1","0","","","","","","","","","","","",""
"483751025","Amarillo 24th Ave C1025","Active","R6","35.236708","-101.787356","1109.6","0.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"170434002","Naperville","Active","R5","41.7714","-88.1522","0.0","-6.0","US","IL","04/18/20","21:00","Illinois EPA","Chicago|South & West Suburbs (Chicago)","","","19.0","","0","0","1","0","3.5","UG/M3","","","","","","","","","",""
"188CRI010001","San Jose","Active","DSCS","9.949488","-84.142878","0.0","-6.0","CS","N/A","04/18/20","21:00","U.S. Department of State Costa Rica - San Jose","San Jose","","","33.0","","0","0","1","0","9.0","UG/M3","","","","","","","","","",""
"484393009","Grapevine Fairway C70","Active","R6","32.98426","-97.063705","175.4","-6.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","Dallas-Fort Worth","43.0","","","","1","0","0","1","","","","","50.0","PPB","","","","","",""
"420130801","Altoona","Active","R3","40.515","-78.3889","0.0","-5.0","US","PA","04/18/20","21:00","Pennsylvania Dept. of Environmental Protection","Altoona","44.0","","27.0","","1","0","1","0","6.7","UG/M3","","","51.0","PPB","","","","","",""
"130950007","Albany","Active","R4","31.5767","-84.1002","66.8","-5.0","US","GA","04/18/20","21:00","Georgia Department of Natural Resources","","","","24.0","","0","0","1","0","5.2","UG/M3","","","","","","","","","",""
"391130032","Library","Inactive","R5","39.760659","-84.187678","298.9","-5.0","US","OH","04/18/20","21:00","Ohio EPA-DAPC","Dayton","","","","","0","0","1","0","","","","","","","","","","","",""
"370510009","W OWEN SCH","Active","R4","35.041416","-78.953112","61.0","-5.0","US","NC","04/18/20","21:00","North Carolina DEQ - Division of Air Quality","","","13.0","5.0","","0","1","1","0","0.0","UG/M3","","","","","14.0","UG/M3","","","",""
"391130035","Eastwood","Inactive","R5","39.785","-84.1345","240.0","-5.0","US","OH","04/18/20","21:00","Ohio EPA-DAPC","","","","","","1","0","0","0","","","","","","","","","","","",""
"191032001","Iowa City, Hoover School","Active","R7","41.658195","-91.503471","0.0","-6.0","US","IA","04/18/20","21:00","Iowa DNR","","","","30.0","","0","0","1","0","6.7","UG/M3","","","","","","","","","",""
"370510008","WADE","Active","R4","35.158686","-78.728035","44.8","-5.0","US","NC","04/18/20","21:00","North Carolina DEQ - Division of Air Quality","Cumberland County","42.0","","","","1","0","0","0","","","","","48.0","PPB","","","","","",""
"391130034","REIBOLD","Inactive","R5","39.757837","-84.191668","0.0","-5.0","US","OH","04/18/20","21:00","Ohio EPA-DAPC","","","","","","0","0","0","0","","","","","","","","","","","",""
"484491078","Cookville FM 4855","Active","R6","33.0752","-94.8474","108.0","0.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"080050006","Aurora East","Active","R8","39.638542","-104.569061","1800.7","-7.0","US","CO","04/18/20","21:00","Regional Air Quality Council ","Denver/Boulder","43.0","","","","1","0","0","0","","","","","49.0","PPB","","","","","",""
"060270029","North Beach","Active","R9","36.542233","-117.990055","0.0","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","","","3.0","","","0","1","0","0","","","","","","","2.0","UG/M3","","","",""
"060270028","Lizard Tail","Active","R9","36.5432","-117.9418","0.0","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","Great Basin Air District|Owens Lake","","2.0","","","0","1","0","0","","","","","","","2.0","UG/M3","","","",""
"370670030","Clemmons Middle","Active","R4","36.0261","-80.3419","248.9","-5.0","US","NC","04/18/20","21:00","Forsyth County Office of Environmental Assistance and Protection","Forsyth County-Winston-Salem-Greensboro-High Point","40.0","","11.0","","1","0","1","0","2.9","UG/M3","","","44.0","PPB","","","","","",""
"060270026","Bill Stanley","Active","R9","36.3619","-118.0108","0.0","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","Great Basin Air District|Owens Lake","","3.0","","","0","1","0","0","","","","","","","3.0","UG/M3","","","",""
"360430005","Nicks Lake","Inactive","R2","43.6856","-74.9864","0.0","-5.0","US","NY","04/18/20","21:00","New York Dept. of Environmental Conservation","Adirondacks Region","","","","","1","0","0","0","","","","","","","","","","","",""
"060270025","Shell Cut","Active","R9","36.3663","-117.8976","0.0","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","Great Basin Air District|Owens Lake","","5.0","","","0","1","0","0","","","","","","","5.0","UG/M3","","","",""
"230310040","Shapleigh Ball Park","Active","R1","43.58889","-70.877342","0.0","-5.0","US","ME","04/18/20","21:00","Maine Dept. of Environmental Protection","Western Interior","42.0","","","","1","0","0","0","","","","","44.0","PPB","","","","","",""
"490210005","Enoch","Active","R8","37.747445","-113.055524","0.0","-7.0","US","UT","04/18/20","21:00","Utah Department of Environmental Quality","Enoch","44.0","","8.0","0.0","1","0","1","1","1.9","UG/M3","1.0","PPB","46.0","PPB","","","","","",""
"720330004","CataÂ¤o 40","Active","R2","18.428388","-66.141657","0.0","-4.0","US","PR","04/18/20","21:00","Puerto Rico Environmental Quality Board","Catano","","","","","0","1","1","0","","","","","","","","","","","",""
"360671015","E Syracuse","Active","R2","43.0528","-76.0597","0.0","-5.0","US","NY","04/18/20","21:00","New York Dept. of Environmental Conservation","Central New York Region","44.0","","","","1","0","0","0","","","","","","","","","","","",""
"370670028","SHILOHCHUR","Inactive","R4","36.2031","-80.2158","292.5","-5.0","US","NC","04/18/20","21:00","Forsyth County Office of Environmental Assistance and Protection","","","","","","1","0","0","0","","","","","","","","","","","",""
"120310032","Kooker Park","Active","R4","30.356111","-81.635556","0.0","-5.0","US","FL","04/18/20","21:00","City of Jacksonville - Environmental Quality Division","Jacksonville","","12.0","42.0","3.0","0","1","1","1","10.5","UG/M3","4.0","PPB","","","11.0","UG/M3","","","1.0","PPB"
"270370480","Lakeville - Near Road","Active","R5","44.706123","-93.285803","0.0","-6.0","US","MN","04/18/20","21:00","Minnesota Pollution Control Agency","South Twin Cities Metro","","","20.0","1.0","0","0","1","1","5.0","UG/M3","2.0","PPB","","","","","0.11","PPM","",""
"510030001","Albemarle HS","Active","R3","38.076599","-78.503998","176.9","-5.0","US","VA","04/18/20","21:00","Virginia Dept. of Environmental Quality","","44.0","","14.0","","1","0","1","0","3.9","UG/M3","","","50.0","PPB","","","","","",""
"230310038","West Buxton","Active","R1","43.656765","-70.629135","0.0","-5.0","US","ME","04/18/20","21:00","Maine Dept. of Environmental Protection","Western Interior","37.0","","","","1","0","0","0","","","","","43.0","PPB","","","","","",""
"180670004","Kokomo - E. Vaile Ave.","Active","R5","40.481349","-86.109718","0.0","-5.0","US","IN","04/18/20","21:00","Indiana Dept. of Environmental Management","","43.0","","35.0","","1","0","1","0","","","","","48.0","PPB","","","","","",""
"160790017","Pinehurst","Active","R10","47.536712","-116.236867","680.5","-8.0","US","ID","04/18/20","21:00","Idaho Department of Environmental Quality","Pinehurst","","11.0","21.0","","0","1","1","0","6.0","UG/M3","","","","","11.0","UG/M3","","","",""
"551330027","WAUKESHA - CLEVELAND AVE","Active","R5","43.0203","-88.215","0.0","-6.0","US","WI","04/18/20","21:00","Wisconsin Dept. of Natural Resources","","44.0","24.0","43.0","","1","1","1","0","9.6","UG/M3","","","49.0","PPB","25.0","UG/M3","","","",""
"530010003","Ritzville-Alder St ","Active","R10","47.127998","-118.381897","550.2","-8.0","US","WA","04/18/20","21:00","Washington Department of Ecology","","","","13.0","","0","0","1","0","2.9","UG/M3","","","","","","","","","",""
"060719004","San Bernadino - 4th Street","Active","R9","34.106678","-117.274063","102.5","-8.0","US","CA","04/18/20","21:00","South Coast AQMD","San Bernardino Co. Metro|C San Bernardino","35.0","9.0","","5.0","1","1","0","1","","","5.0","PPB","40.0","PPB","10.0","UG/M3","0.05","PPM","",""
"060270019","Lone Pine Meteorological Site","Active","R9","36.6076","-118.0477","0.0","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","Great Basin Air District","","","","","0","0","0","0","","","","","","","","","","","",""
"SH1010001","Shanghai","Active","DSCH","31.210683","121.448226","0.0","8.0","CH","N/A","04/18/20","21:00","U.S. Department of State China - Shanghai","Shanghai","","","89.0","","0","0","1","0","","","","","","","","","","","",""
"060719002","Joshua Tree NP - Black Rock","Active","USEPA","34.0714","-116.3906","1244.4","-8.0","US","CA","04/18/20","21:00","National Park Service","Mojave Desert|Joshua Tree National Park","","","","","1","0","0","0","","","","","","","","","","","",""
"370670022","HATTIEAVEN","Active","R4","36.1106","-80.2267","281.8","-5.0","US","NC","04/18/20","21:00","Forsyth County Office of Environmental Assistance and Protection","Forsyth County-Winston-Salem-Greensboro-High Point","41.0","4.0","10.0","","1","1","1","1","2.7","UG/M3","","","46.0","PPB","3.0","UG/M3","","","1.0","PPB"
"211110075","Near Road","Active","R4","38.1935","-85.7121","0.0","-5.0","US","KY","04/18/20","21:00","Louisville Metro Air Pollution Control District ","Louisville","","19.0","56.0","7.0","0","1","1","1","15.2","UG/M3","8.0","PPB","","","23.0","UG/M3","0.3","PPM","",""
"370130006","Aurora","Inactive","R4","35.345","-76.7833","4.0","-5.0","US","NC","04/18/20","21:00","North Carolina DEQ - Division of Air Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"370130007","PCS Phosphate","Inactive","R4","35.340401","-76.7799","4.0","-5.0","US","NC","04/18/20","21:00","North Carolina DEQ - Division of Air Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"480971504","Gainsville Doss Street C1504","Active","R6","33.63317","-97.153805","231.8","0.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"040130019","West Phoenix","Active","R9","33.483799","-112.142601","333.1","-7.0","US","AZ","04/18/20","21:00","Maricopa County Air Quality Department","Phoenix","45.0","11.0","15.0","1.0","1","1","1","1","3.9","UG/M3","1.0","PPB","46.0","PPB","14.0","UG/M3","0.3","PPM","",""
"211850004","BUCKNER","Active","R4","38.3986","-85.4433","0.0","-5.0","US","KY","04/18/20","21:00","Kentucky DEP","Louisville","44.0","","","","1","0","0","0","","","","","52.0","PPB","","","","","",""
"420010001","Arendtsville","Active","R3","39.9233","-77.3081","269.0","-5.0","US","PA","04/18/20","21:00","Pennsylvania Dept. of Environmental Protection","","44.0","","23.0","","1","0","1","0","5.2","UG/M3","","","51.0","PPB","","","","","",""
"420010002","BIGL","Inactive","R3","39.934399","-77.253304","0.0","-5.0","US","PA","04/18/20","21:00","Pennsylvania Dept. of Environmental Protection","","","","","","1","0","0","0","","","","","","","","","","","",""
"000041302","BATHURST","Active","CA","47.6094","-65.6333","29.9","-4.0","CA","CC","04/18/20","21:00","Environment Canada","","44.0","","13.0","0.0","1","0","1","1","3.0","UG/M3","0.0","PPB","47.0","PPB","","","","","",""
"840MM0370180","Ellensburg_Mobile","Inactive","R10","46.993825","-120.544932","0.0","-8.0","US","MM","04/18/20","21:00","Washington Department of Ecology","","","","","","0","0","1","0","","","","","","","","","","","",""
"121152002","Jackson Road","Active","R4","27.0892","-82.3625","0.0","-5.0","US","FL","04/18/20","21:00","Florida Dept. of Environmental Protection","Highlands County|Sarasota","31.0","","32.0","","1","0","1","0","10.0","UG/M3","","","35.0","PPB","","","","","",""
"360715001","Valley Central","Active","R2","41.5231","-74.215","0.0","-5.0","US","NY","04/18/20","21:00","New York Dept. of Environmental Conservation","Lower Hudson Valley Region|Valley Central","40.0","","","","1","0","0","0","","","","","","","","","","","",""
"261250011","PONTIAC","Active","R5","42.633301","-83.325302","0.0","-5.0","US","MI","04/18/20","21:00","Michigan Department of Environment, Great Lakes, and Energy","","","","","","0","0","0","0","","","","","","","","","","","",""
"481410002","Tillman C413","Inactive","R6","31.757654","-106.482922","1131.6","-7.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"261250012","ROCHESTER","Active","R5","42.6791","-83.1303","390.4","-5.0","US","MI","04/18/20","21:00","Michigan Department of Environment, Great Lakes, and Energy","","","","","","0","0","0","0","","","","","","","","","","","",""
"586PK4010001","Peshawar","Active","DSPK","34.005852","71.53775","0.0","5.0","PK","N/A","04/18/20","21:00","U.S. Department of State Pakistan - Peshawar","Peshawar","","","59.0","","0","0","1","0","11.0","UG/M3","","","","","","","","","",""
"BJ1010001","Beijing","Active","DSCH","39.953352","116.466258","0.0","8.0","CH","N/A","04/18/20","21:00","U.S. Department of State China - Beijing","Beijing","84.0","","132.0","","1","0","1","0","40.0","UG/M3","","","73.0","PPB","","","","","",""
"361010003","Pinnacle State Park","Active","R2","42.0972","-77.2103","0.0","-5.0","US","NY","04/18/20","21:00","New York Dept. of Environmental Conservation","Central New York Region","42.0","","","","1","1","0","0","","","","","","","","","","","",""
"340130003","Newark Firehouse","Active","R2","40.720989","-74.192894","26.8","-5.0","US","NJ","04/18/20","21:00","New Jersey Dept. of Environmental Protection","Newark|New Jersey","34.0","","19.0","6.0","1","0","1","1","","","6.0","PPB","37.0","PPB","","","0.21","PPM","0.0","PPB"
"060270004","Lone Pine","Active","R9","36.609","-118.0578","0.0","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","Great Basin Air District|Owens Lake","","4.0","","","0","1","0","0","","","","","","","4.0","UG/M3","","","",""
"211110067","Cannons Lane","Active","R4","38.2286","-85.6544","164.1","-5.0","US","KY","04/18/20","21:00","Louisville Metro Air Pollution Control District ","Louisville","47.0","19.0","55.0","1.0","1","1","1","1","14.5","UG/M3","1.0","PPB","56.0","PPB","21.0","UG/M3","0.13","PPM","1.0","PPB"
"400190297","Healdton","Active","R6","34.256901","-97.474197","293.1","-6.0","US","OK","04/18/20","21:00","Oklahoma Department of Environmental Quality","","43.0","18.0","38.0","","1","1","1","0","12.2","UG/M3","","","50.0","PPB","26.0","UG/M3","","","",""
"060270002","NCore - White Mountain Research Station - OVL","Active","R9","37.360701","-118.330835","1232.5","-8.0","US","CA","04/18/20","21:00","Great Basin Unified Air Pollution Control District","Bishop|Great Basin Air District","39.0","9.0","14.0","","1","1","1","0","3.4","UG/M3","","","44.0","PPB","13.0","UG/M3","0.14","PPM","0.0","PPB"
"211110051","WATSON","Active","R4","38.0608","-85.8961","0.0","-5.0","US","KY","04/18/20","21:00","Louisville Metro Air Pollution Control District ","Louisville","41.0","20.0","52.0","","1","1","1","0","11.8","UG/M3","","","47.0","PPB","21.0","UG/M3","","","2.0","PPB"
"120170006","Crystal River Preserve","Active","R4","28.958372","-82.643094","0.0","-5.0","US","FL","04/18/20","21:00","Florida Dept. of Environmental Protection","Citrus County","","","39.0","","0","0","1","0","9.0","UG/M3","","","","","","","","","0.0","PPB"
"350250008","Hobbs Jefferson","Active","R6","32.7267","-103.1233","1110.8","-7.0","US","NM","04/18/20","21:00","New Mexico Air Quality Bureau","","36.0","","36.0","4.0","1","0","1","1","8.0","UG/M3","4.0","PPB","44.0","PPB","","","","","",""
"471632003","KSPORT","Active","R4","36.5819","-82.4858","0.0","-5.0","US","TN","04/18/20","21:00","Tennessee Air Pollution Control Div.","Tri-Cities","38.0","","","","1","0","0","0","","","","","","","","","","","",""
"420030064","Liberty (SAHS)","Active","R3","40.323898","-79.868301","335.5","-5.0","US","PA","04/18/20","21:00","Allegheny County","Liberty/Clairton area","","","28.0","","0","0","1","0","","","","","","","","","","","",""
"201770013","KNI-Topeka","Active","R7","39.0242","-95.7114","280.0","-6.0","US","KS","04/18/20","21:00","Kansas Dept. of Health and Environment","Topeka","48.0","15.0","64.0","","1","1","1","0","20.6","UG/M3","","","59.0","PPB","16.0","UG/M3","","","",""
"420030067","South Fayette","Active","R3","40.381901","-80.1856","390.1","-5.0","US","PA","04/18/20","21:00","Allegheny County","","47.0","","","","1","0","0","0","","","","","","","","","","","",""
"482150043","Mission C43","Active","R6","26.226226","-98.29107","39.7","-6.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","Brownsville-McAllen","19.0","","38.0","","1","1","1","0","","","","","27.0","PPB","","","","","",""
"471632002","BVILLE","Active","R4","36.5408","-82.4258","0.0","-5.0","US","TN","04/18/20","21:00","Tennessee Air Pollution Control Div.","Tri-Cities","38.0","","","","1","0","0","0","","","","","","","","","","","",""
"060830011","Santa Barbara","Active","R9","34.42775","-119.69091","6.1","-8.0","US","CA","04/18/20","21:00","Santa Barbara County Air Pollution Control District","Santa Barbara","35.0","14.0","17.0","","1","1","1","0","4.0","UG/M3","","","40.0","PPB","17.0","UG/M3","","","",""
"481675005","Galveston KGLS C5005","Active","R6","29.2703","-94.8642","3.1","-6.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"160090011","Plummer CDA Tribe","Active","R10","47.3386","-116.885902","828.4","-8.0","US","ID","04/18/20","21:00","Idaho Department of Environmental Quality","Coeur d'Alene Reservation","","","32.0","","0","0","1","0","9.3","UG/M3","","","","","","","","","",""
"160090010","St. Maries","Active","R10","47.3167","-116.570297","664.9","-8.0","US","ID","04/18/20","21:00","Idaho Department of Environmental Quality","St. Maries","","","28.0","","0","0","1","0","7.0","UG/M3","","","","","","","","","",""
"010730023","NO. BHAM","Active","R4","33.5531","-86.815","0.0","-6.0","US","AL","04/18/20","21:00","Jefferson County Department of Health","Birmingham","42.0","7.0","","","1","1","0","0","","","","","45.0","PPB","8.0","UG/M3","","","",""
"000011002","FIREHALL-LABRADORCITY2","Active","CA","52.945487","-66.910306","0.0","-4.0","CA","CC","04/18/20","21:00","Environment Canada","","","","","","0","0","1","0","","","","","","","","","","","",""
"484393011","Arlington Municipal Airport C61","Active","R6","32.6558","-97.0886","0.0","-6.0","US","TX","04/18/20","21:00","Texas Commission on Environmental Quality","Dallas-Fort Worth","37.0","","","","1","0","1","1","","","","","41.0","PPB","","","","","",""
